module,signal,gpio,direction,level,default_state,i2c_addr,bus,notes
LCD,LCD_RST,GPIO22,OUT,high,high,-,GPIO,LCD reset signal
LCD,LCD_BL,GPIO6,OUT_PWM,high,high,-,GPIO,Backlight PWM (0=off, max=duty 100%)
LCD,ST7102_MIPI_CLK,internal,-,-,-,-,MIPI,MIPI-DSI 2-lane clock
LCD,ST7102_MIPI_D0_P,internal,-,-,-,-,MIPI,MIPI-DSI data lane 0+
LCD,ST7102_MIPI_D0_N,internal,-,-,-,-,MIPI,MIPI-DSI data lane 0-
LCD,ST7102_MIPI_D1_P,internal,-,-,-,-,MIPI,MIPI-DSI data lane 1+
LCD,ST7102_MIPI_D1_N,internal,-,-,-,-,MIPI,MIPI-DSI data lane 1-
Touch,TP_SDA,GPIO7,I2C,-,-,varies,I2C0,Shared I2C bus
Touch,TP_SCL,GPIO8,I2C,-,-,varies,I2C0,Shared I2C bus
Touch,TP_INT,GPIO23,IN,low,-,-,GPIO,Touch interrupt
Audio_ES8311,ES8311_SDA,GPIO7,I2C,-,-,0x18,I2C0,Shared I2C bus
Audio_ES8311,ES8311_SCL,GPIO8,I2C,-,-,0x18,I2C0,Shared I2C bus
Audio_ES8311,ES8311_PA_EN,GPIO3,OUT,high,high,-,GPIO,NS4150B PA enable
Audio_ES8311,I2S_MCLK,GPIO13,OUT,-,-,-,I2S0,Audio master clock
Audio_ES8311,I2S_BCLK,GPIO12,OUT,-,-,-,I2S0,Audio bit clock
Audio_ES8311,I2S_WS,GPIO10,OUT,-,-,-,I2S0,Audio word select
Audio_ES8311,I2S_DOUT,GPIO9,OUT,-,-,-,I2S0,DAC data out
Audio_ES7210,ES7210_SDA,GPIO7,I2C,-,-,0x40,I2C0,Shared I2C bus
Audio_ES7210,ES7210_SCL,GPIO8,I2C,-,-,0x40,I2C0,Shared I2C bus
Audio_ES7210,ES7210_MIC1_P,internal,-,-,-,-,analog,MEMS mic 1+
Audio_ES7210,ES7210_MIC1_N,internal,-,-,-,-,analog,MEMS mic 1-
Audio_ES7210,ES7210_MIC2_P,internal,-,-,-,-,analog,MEMS mic 2+
Audio_ES7210,ES7210_MIC2_N,internal,-,-,-,-,analog,MEMS mic 2-
Audio_ES7210,ES7210_MIC3_P,internal,-,-,-,-,analog,MEMS mic 3+
Audio_ES7210,ES7210_MIC3_N,internal,-,-,-,-,analog,MEMS mic 3-
Audio_ES7210,ES7210_MIC4_P,internal,-,-,-,-,analog,MEMS mic 4+
Audio_ES7210,ES7210_MIC4_N,internal,-,-,-,-,analog,MEMS mic 4-
Audio_ES7210,ES7210_I2S_DIN,GPIO11,IN,-,-,0x40,I2S0,ADC data in
PMIC,AXP2101_SDA,GPIO7,I2C,-,-,0x34,I2C0,Shared I2C bus
PMIC,AXP2101_SCL,GPIO8,I2C,-,-,0x34,I2C0,Shared I2C bus
PMIC,AXP2101_DCDC1,internal,OUT,-,3.3V,-,power,Main power rail
PMIC,AXP2101_ALDO1,internal,OUT,-,1.8V,-,power,Aux rail
PMIC,AXP2101_ALDO3,internal,OUT,-,3.3V,-,power,Audio codec rail
PMIC,AXP2101_ALDO4,internal,OUT,-,2.9V,-,power,4G module VBAT
PMIC,AXP2101_IRQ,internal,IN,-,-,0x34,I2C0,PMIC interrupt
IMU,LSM6DS_SDA,GPIO7,I2C,-,-,0x6A,I2C0,Shared I2C bus (default)
